SSTP_GeneID	XLOC_GeneID	XLOC_TranscriptID	Chromosome
SSTP_0001101000	XLOC_001702	TCONS_00001805.p1	Ss_chr1
SSTP_0001101100	XLOC_000046	TCONS_00000047.p1	Ss_chr1
SSTP_0001101100	XLOC_000046	TCONS_00003633.p1	Ss_chr1
SSTP_0001101200	XLOC_000046	TCONS_00000047.p1	Ss_chr1
SSTP_0001101200	XLOC_000046	TCONS_00003633.p1	Ss_chr1
SSTP_0001101300	XLOC_000047	TCONS_00000048.p1	Ss_chr1
SSTP_0001101400	XLOC_000048	TCONS_00000049.p1	Ss_chr1
SSTP_0001101500	XLOC_000049	TCONS_00000050.p1	Ss_chr1
SSTP_0001101500	XLOC_000049	TCONS_00003634.p1	Ss_chr1
SSTP_0001101600	XLOC_000049	TCONS_00000051.p1	Ss_chr1
SSTP_0001101600	XLOC_000049	TCONS_00003634.p1	Ss_chr1
SSTP_0001101700	XLOC_001703	TCONS_00001806.p1	Ss_chr1
SSTP_0001101800	XLOC_000050	TCONS_00000052.p1	Ss_chr1
SSTP_0001101900	XLOC_001704	TCONS_00001807.p1	Ss_chr1
SSTP_0001101900	XLOC_001704	TCONS_00004360.p1	Ss_chr1
SSTP_0001102000	XLOC_000051	TCONS_00000053.p1	Ss_chr1
SSTP_0001102100	XLOC_001705	TCONS_00001808.p1	Ss_chr1
SSTP_0000861700	XLOC_001706	TCONS_00004361.p1	Ss_chr1
SSTP_0000524500	XLOC_000057	TCONS_00000054.p1	Ss_chr1
SSTP_0000524500	XLOC_000057	TCONS_00003641.p1	Ss_chr1
SSTP_0000524600	XLOC_001711	TCONS_00001809.p1	Ss_chr1
SSTP_0000524700	XLOC_000058	TCONS_00000055.p1	Ss_chr1
SSTP_0000524700	XLOC_000058	TCONS_00003642.p1	Ss_chr1
SSTP_0000524800	XLOC_000058	TCONS_00000056.p1	Ss_chr1
SSTP_0000524800	XLOC_000058	TCONS_00003642.p1	Ss_chr1
SSTP_0000524900	XLOC_001712	TCONS_00001810.p1	Ss_chr1
SSTP_0000525000	XLOC_001713	TCONS_00001811.p1	Ss_chr1
SSTP_0000525000	XLOC_001713	TCONS_00004367.p1	Ss_chr1
SSTP_0000525100	XLOC_000059	TCONS_00000057.p1	Ss_chr1
SSTP_0000525300	XLOC_001714	TCONS_00001812.p1	Ss_chr1
SSTP_0000525400	XLOC_000061	TCONS_00000059.p1	Ss_chr1
SSTP_0000525400	XLOC_000061	TCONS_00003643.p1	Ss_chr1
SSTP_0000525600	XLOC_000063	TCONS_00000060.p1	Ss_chr1
SSTP_0000525700	XLOC_001715	TCONS_00001813.p1	Ss_chr1
SSTP_0000525700	XLOC_001715	TCONS_00004368.p1	Ss_chr1
SSTP_0000525800	XLOC_000064	TCONS_00000061.p1	Ss_chr1
SSTP_0000525900	XLOC_000065	TCONS_00000062.p1	Ss_chr1
SSTP_0000526000	XLOC_001716	TCONS_00001814.p1	Ss_chr1
SSTP_0000526100	XLOC_000066	TCONS_00000063.p1	Ss_chr1
SSTP_0000526200	XLOC_001717	TCONS_00001815.p1	Ss_chr1
SSTP_0000526300	XLOC_001717	TCONS_00001815.p1	Ss_chr1
SSTP_0000526400	XLOC_001718	TCONS_00001816.p1	Ss_chr1
SSTP_0000526400	XLOC_001718	TCONS_00004369.p1	Ss_chr1
SSTP_0000526500	XLOC_000067	TCONS_00000064.p1	Ss_chr1
SSTP_0000526500	XLOC_000067	TCONS_00003645.p1	Ss_chr1
SSTP_0000526600	XLOC_000067	TCONS_00000065.p1	Ss_chr1
SSTP_0000526600	XLOC_000067	TCONS_00003645.p1	Ss_chr1
SSTP_0000526700	XLOC_000067	TCONS_00000066.p1	Ss_chr1
SSTP_0000526700	XLOC_000067	TCONS_00003645.p1	Ss_chr1
SSTP_0000526800	XLOC_000067	TCONS_00000066.p1	Ss_chr1
SSTP_0000526800	XLOC_000067	TCONS_00003646.p1	Ss_chr1
SSTP_0000526900	XLOC_001719	TCONS_00001817.p1	Ss_chr1
SSTP_0000527000	XLOC_000068	TCONS_00000067.p1	Ss_chr1
SSTP_0000527100	XLOC_001720	TCONS_00001818.p1	Ss_chr1
SSTP_0000527200	XLOC_001721	TCONS_00001819.p1	Ss_chr1
SSTP_0000527200	XLOC_001721	TCONS_00004370.p1	Ss_chr1
SSTP_0000527300	XLOC_001722	TCONS_00001820.p1	Ss_chr1
SSTP_0000527400	XLOC_001723	TCONS_00001821.p1	Ss_chr1
SSTP_0000527500	XLOC_000069	TCONS_00000068.p1	Ss_chr1
SSTP_0000527600	XLOC_000070	TCONS_00000069.p1	Ss_chr1
SSTP_0000527600	XLOC_000070	TCONS_00003647.p1	Ss_chr1
SSTP_0000527600	XLOC_000070	TCONS_00003647.p2	Ss_chr1
SSTP_0000527700	XLOC_001724	TCONS_00001822.p1	Ss_chr1
SSTP_0000527700	XLOC_001724	TCONS_00004371.p1	Ss_chr1
SSTP_0000527800	XLOC_001725	TCONS_00001823.p1	Ss_chr1
SSTP_0000527900	XLOC_000071	TCONS_00000070.p1	Ss_chr1
SSTP_0000527900	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528000	XLOC_000071	TCONS_00000071.p1	Ss_chr1
SSTP_0000528000	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528100	XLOC_000071	TCONS_00000072.p1	Ss_chr1
SSTP_0000528100	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528200	XLOC_000071	TCONS_00000073.p1	Ss_chr1
SSTP_0000528200	XLOC_000071	TCONS_00000074.p1	Ss_chr1
SSTP_0000528200	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528300	XLOC_000071	TCONS_00000074.p1	Ss_chr1
SSTP_0000528300	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528400	XLOC_000071	TCONS_00000074.p1	Ss_chr1
SSTP_0000528400	XLOC_000071	TCONS_00003648.p1	Ss_chr1
SSTP_0000528500	XLOC_001726	TCONS_00001824.p1	Ss_chr1
SSTP_0000528600	XLOC_000072	TCONS_00000075.p1	Ss_chr1
SSTP_0000528700	XLOC_001727	TCONS_00001825.p1	Ss_chr1
SSTP_0000528700	XLOC_001727	TCONS_00004372.p1	Ss_chr1
SSTP_0000528800	XLOC_000073	TCONS_00000076.p1	Ss_chr1
SSTP_0000689100	XLOC_000074	TCONS_00003649.p1	Ss_chr1
SSTP_0000528900	XLOC_000075	TCONS_00000077.p1	Ss_chr1
SSTP_0000529000	XLOC_001728	TCONS_00001826.p1	Ss_chr1
SSTP_0000529100	XLOC_000076	TCONS_00000078.p1	Ss_chr1
SSTP_0000529100	XLOC_000076	TCONS_00003650.p1	Ss_chr1
SSTP_0000529200	XLOC_001729	TCONS_00001827.p1	Ss_chr1
SSTP_0000529300	XLOC_000077	TCONS_00000079.p1	Ss_chr1
SSTP_0000529300	XLOC_000077	TCONS_00003651.p1	Ss_chr1
SSTP_0000529400	XLOC_001730	TCONS_00001828.p1	Ss_chr1
SSTP_0000529500	XLOC_001731	TCONS_00001829.p1	Ss_chr1
SSTP_0000529600	XLOC_001732	TCONS_00001830.p1	Ss_chr1
SSTP_0000529600	XLOC_001732	TCONS_00004373.p1	Ss_chr1
SSTP_0000529700	XLOC_001732	TCONS_00004373.p1	Ss_chr1
SSTP_0000529800	XLOC_001733	TCONS_00001831.p1	Ss_chr1
SSTP_0000529900	XLOC_000078	TCONS_00000080.p1	Ss_chr1
SSTP_0000529900	XLOC_000078	TCONS_00003652.p1	Ss_chr1
SSTP_0000530000	XLOC_001734	TCONS_00001832.p1	Ss_chr1
SSTP_0000530100	XLOC_001735	TCONS_00001833.p1	Ss_chr1
SSTP_0000530200	XLOC_001736	TCONS_00001834.p1	Ss_chr1
SSTP_0000530300	nbisL1-mrna-17	mrna-17	Ss_chr1
SSTP_0000530400	XLOC_001737	TCONS_00001835.p1	Ss_chr1
SSTP_0000530400	XLOC_001737	TCONS_00004374.p1	Ss_chr1
SSTP_0000530500	XLOC_001737	TCONS_00001835.p1	Ss_chr1
SSTP_0000530600	XLOC_001738	TCONS_00001836.p1	Ss_chr1
SSTP_0000636000	XLOC_000085	TCONS_00003659.p1	Ss_chr1
SSTP_0000334500	XLOC_000085	TCONS_00003659.p1	Ss_chr1
SSTP_0000946300	XLOC_001743	TCONS_00001837.p1	Ss_chr1
SSTP_0000946200	XLOC_001744	TCONS_00001838.p1	Ss_chr1
SSTP_0000946100	XLOC_000086	TCONS_00000082.p1	Ss_chr1
SSTP_0000946000	XLOC_001745	TCONS_00001839.p1	Ss_chr1
SSTP_0000946000	XLOC_001745	TCONS_00004380.p1	Ss_chr1
SSTP_0000945900	XLOC_000087	TCONS_00000083.p1	Ss_chr1
SSTP_0000945900	XLOC_000087	TCONS_00003660.p1	Ss_chr1
SSTP_0000945800	XLOC_000087	TCONS_00000084.p1	Ss_chr1
SSTP_0000945800	XLOC_000087	TCONS_00003660.p1	Ss_chr1
SSTP_0000945700	XLOC_001745	TCONS_00001840.p1	Ss_chr1
SSTP_0000945700	XLOC_001745	TCONS_00004380.p1	Ss_chr1
SSTP_0000945600	XLOC_001745	TCONS_00001841.p1	Ss_chr1
SSTP_0000945600	XLOC_001745	TCONS_00004380.p1	Ss_chr1
SSTP_0000945500	XLOC_001745	TCONS_00001842.p1	Ss_chr1
SSTP_0000945500	XLOC_001745	TCONS_00004380.p1	Ss_chr1
SSTP_0000945400	XLOC_000088	TCONS_00000085.p1	Ss_chr1
SSTP_0000945366	XLOC_000089	TCONS_00003661.p1	Ss_chr1
SSTP_0000945300	XLOC_001747	TCONS_00001844.p1	Ss_chr1
SSTP_0000945300	XLOC_001747	TCONS_00004381.p1	Ss_chr1
SSTP_0000945200	XLOC_001748	TCONS_00001845.p1	Ss_chr1
SSTP_0000945100	XLOC_001749	TCONS_00001846.p1	Ss_chr1
SSTP_0000945100	XLOC_001749	TCONS_00004382.p1	Ss_chr1
SSTP_0000945000	XLOC_001749	TCONS_00001847.p1	Ss_chr1
SSTP_0000945000	XLOC_001749	TCONS_00004382.p1	Ss_chr1
SSTP_0000944900	XLOC_001749	TCONS_00001848.p1	Ss_chr1
SSTP_0000944900	XLOC_001749	TCONS_00004382.p1	Ss_chr1
SSTP_0000944800	XLOC_000090	TCONS_00000086.p1	Ss_chr1
SSTP_0000944700	XLOC_001750	TCONS_00001849.p1	Ss_chr1
SSTP_0000944600	XLOC_000091	TCONS_00000087.p1	Ss_chr1
SSTP_0000944500	XLOC_000092	TCONS_00000088.p1	Ss_chr1
SSTP_0000944400	XLOC_001751	TCONS_00001850.p1	Ss_chr1
SSTP_0001144900	XLOC_001752	TCONS_00001851.p1	Ss_chr1
SSTP_0001145000	XLOC_000093	TCONS_00000089.p1	Ss_chr1
SSTP_0001145100	XLOC_001753	TCONS_00001852.p1	Ss_chr1
SSTP_0001145100	XLOC_001753	TCONS_00004383.p1	Ss_chr1
SSTP_0001145100	XLOC_001753	TCONS_00004383.p2	Ss_chr1
SSTP_0001145200	XLOC_001753	TCONS_00001853.p1	Ss_chr1
SSTP_0001145200	XLOC_001753	TCONS_00004383.p1	Ss_chr1
SSTP_0001145200	XLOC_001753	TCONS_00004383.p2	Ss_chr1
SSTP_0001145300	XLOC_001753	TCONS_00001854.p1	Ss_chr1
SSTP_0001145300	XLOC_001753	TCONS_00004383.p1	Ss_chr1
SSTP_0001145300	XLOC_001753	TCONS_00004383.p2	Ss_chr1
SSTP_0001145400	XLOC_000094	TCONS_00000090.p1	Ss_chr1
SSTP_0001145500	XLOC_000095	TCONS_00000091.p1	Ss_chr1
SSTP_0001145600	XLOC_000096	TCONS_00000092.p1	Ss_chr1
SSTP_0001145600	XLOC_000096	TCONS_00003662.p1	Ss_chr1
SSTP_0001145700	XLOC_000096	TCONS_00000093.p1	Ss_chr1
SSTP_0001145700	XLOC_000096	TCONS_00003662.p1	Ss_chr1
SSTP_0001145800	XLOC_001754	TCONS_00001855.p1	Ss_chr1
SSTP_0001145900	XLOC_001755	TCONS_00001856.p1	Ss_chr1
SSTP_0001146000	XLOC_000097	TCONS_00000094.p1	Ss_chr1
SSTP_0001146000	XLOC_000097	TCONS_00003663.p1	Ss_chr1
SSTP_0001146100	XLOC_001756	TCONS_00001857.p1	Ss_chr1
SSTP_0001146200	XLOC_000098	TCONS_00000095.p1	Ss_chr1
SSTP_0001146300	XLOC_001757	TCONS_00001858.p1	Ss_chr1
SSTP_0001146300	XLOC_001757	TCONS_00004384.p1	Ss_chr1
SSTP_0001146400	XLOC_001757	TCONS_00001859.p1	Ss_chr1
SSTP_0001146400	XLOC_001757	TCONS_00004384.p1	Ss_chr1
SSTP_0001146500	XLOC_001758	TCONS_00001860.p1	Ss_chr1
SSTP_0001146500	XLOC_001758	TCONS_00004385.p1	Ss_chr1
SSTP_0001146600	XLOC_001759	TCONS_00001861.p1	Ss_chr1
SSTP_0001146700	XLOC_000099	TCONS_00000096.p1	Ss_chr1
SSTP_0001146700	XLOC_000099	TCONS_00003664.p1	Ss_chr1
SSTP_0001146800	XLOC_000100	TCONS_00003665.p1	Ss_chr1
SSTP_0001146900	XLOC_000101	TCONS_00000097.p1	Ss_chr1
SSTP_0001147000	XLOC_001760	TCONS_00001862.p1	Ss_chr1
SSTP_0001147000	XLOC_001760	TCONS_00004386.p1	Ss_chr1
SSTP_0001147100	XLOC_000102	TCONS_00000098.p1	Ss_chr1
SSTP_0001147100	XLOC_000102	TCONS_00003666.p1	Ss_chr1
SSTP_0001147200	XLOC_000102	TCONS_00000099.p1	Ss_chr1
SSTP_0001147200	XLOC_000102	TCONS_00003666.p1	Ss_chr1
SSTP_0001147300	XLOC_001761	TCONS_00001863.p1	Ss_chr1
SSTP_0001147400	XLOC_000103	TCONS_00000100.p1	Ss_chr1
SSTP_0001147500	XLOC_000104	TCONS_00000101.p1	Ss_chr1
SSTP_0001147600	XLOC_000105	TCONS_00000102.p1	Ss_chr1
SSTP_0001147600	XLOC_000105	TCONS_00003667.p1	Ss_chr1
SSTP_0001143316	XLOC_001765	TCONS_00004388.p1	Ss_chr1
SSTP_0000861400	XLOC_000113	TCONS_00000103.p1	Ss_chr1
SSTP_0000861400	XLOC_000113	TCONS_00003675.p1	Ss_chr1
SSTP_0000267000	XLOC_000113	TCONS_00000103.p1	Ss_chr1
SSTP_0000267000	XLOC_000113	TCONS_00003675.p1	Ss_chr1
SSTP_0000267100	XLOC_001767	TCONS_00001866.p1	Ss_chr1
SSTP_0000267200	XLOC_001768	TCONS_00001867.p1	Ss_chr1
SSTP_0000267300	XLOC_001768	TCONS_00001867.p1	Ss_chr1
SSTP_0000267400	XLOC_000114	TCONS_00000104.p1	Ss_chr1
SSTP_0000267500	XLOC_001769	TCONS_00001868.p1	Ss_chr1
SSTP_0000267600	XLOC_000115	TCONS_00000105.p1	Ss_chr1
SSTP_0000267600	XLOC_000115	TCONS_00003676.p1	Ss_chr1
SSTP_0000267700	XLOC_000115	TCONS_00000106.p1	Ss_chr1
SSTP_0000267700	XLOC_000115	TCONS_00000107.p1	Ss_chr1
SSTP_0000267700	XLOC_000115	TCONS_00003676.p1	Ss_chr1
SSTP_0000267800	XLOC_000116	TCONS_00000108.p1	Ss_chr1
SSTP_0000267950	XLOC_001770	TCONS_00001869.p1	Ss_chr1
SSTP_0000268000	XLOC_001771	TCONS_00001870.p1	Ss_chr1
SSTP_0000268100	XLOC_001772	TCONS_00001871.p1	Ss_chr1
SSTP_0000268100	XLOC_001772	TCONS_00004393.p1	Ss_chr1
SSTP_0000268200	XLOC_001772	TCONS_00001872.p1	Ss_chr1
SSTP_0000268200	XLOC_001772	TCONS_00004393.p1	Ss_chr1
SSTP_0000268300	XLOC_001772	TCONS_00001872.p1	Ss_chr1
SSTP_0000268300	XLOC_001772	TCONS_00004393.p1	Ss_chr1
SSTP_0000268400	XLOC_000119	TCONS_00000110.p1	Ss_chr1
SSTP_0000268500	XLOC_000120	TCONS_00000111.p1	Ss_chr1
SSTP_0000268500	XLOC_000120	TCONS_00003678.p1	Ss_chr1
SSTP_0000268600	XLOC_001773	TCONS_00001873.p1	Ss_chr1
SSTP_0000268700	XLOC_001774	TCONS_00001874.p1	Ss_chr1
SSTP_0000268700	XLOC_001774	TCONS_00004394.p1	Ss_chr1
SSTP_0000268800	nbisL1-mrna-18	mrna-18	Ss_chr1
SSTP_0000268900	XLOC_000121	TCONS_00000112.p1	Ss_chr1
SSTP_0000268900	XLOC_000121	TCONS_00003679.p1	Ss_chr1
SSTP_0000269000	XLOC_001776	TCONS_00001876.p1	Ss_chr1
SSTP_0000269000	XLOC_001776	TCONS_00004396.p1	Ss_chr1
SSTP_0000269200	XLOC_001778	TCONS_00001878.p1	Ss_chr1
SSTP_0000269300	XLOC_001779	TCONS_00001879.p1	Ss_chr1
SSTP_0000269400	XLOC_000122	TCONS_00000113.p1	Ss_chr1
SSTP_0000269500	XLOC_000123	TCONS_00000114.p1	Ss_chr1
SSTP_0000269600	XLOC_001780	TCONS_00001880.p1	Ss_chr1
SSTP_0000269700	XLOC_000124	TCONS_00000115.p1	Ss_chr1
SSTP_0000269800	XLOC_000125	TCONS_00000116.p1	Ss_chr1
SSTP_0000269800	XLOC_000125	TCONS_00003680.p1	Ss_chr1
SSTP_0000269900	XLOC_001781	TCONS_00001881.p1	Ss_chr1
SSTP_0000987800	XLOC_001783	TCONS_00004398.p1	Ss_chr1
SSTP_0000883900	XLOC_001783	TCONS_00004398.p1	Ss_chr1
SSTP_0001143332	XLOC_001783	TCONS_00004398.p1	Ss_chr1
SSTP_0000278800	XLOC_001783	TCONS_00004398.p1	Ss_chr1
SSTP_0000271100	XLOC_000134	TCONS_00003689.p1	Ss_chr1
SSTP_0001283800	XLOC_000134	TCONS_00003689.p1	Ss_chr1
SSTP_0000019200	XLOC_000134	TCONS_00003689.p1	Ss_chr1
SSTP_0000994800	XLOC_000136	TCONS_00000117.p1	Ss_chr1
SSTP_0000994700	XLOC_001790	TCONS_00001882.p1	Ss_chr1
SSTP_0000994700	XLOC_001790	TCONS_00004405.p1	Ss_chr1
SSTP_0000994600	XLOC_000137	TCONS_00000118.p1	Ss_chr1
SSTP_0000994500	XLOC_000137	TCONS_00000118.p1	Ss_chr1
SSTP_0000994400	XLOC_000138	TCONS_00000119.p1	Ss_chr1
SSTP_0000994400	XLOC_000138	TCONS_00003691.p1	Ss_chr1
SSTP_0000994300	XLOC_000138	TCONS_00000119.p1	Ss_chr1
SSTP_0000994300	XLOC_000138	TCONS_00003692.p1	Ss_chr1
SSTP_0000994200	XLOC_001791	TCONS_00001883.p1	Ss_chr1
SSTP_0000994150	XLOC_001792	TCONS_00001884.p1	Ss_chr1
SSTP_0000994100	XLOC_000139	TCONS_00000120.p1	Ss_chr1
SSTP_0000994000	XLOC_000140	TCONS_00000121.p1	Ss_chr1
